Time,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/theta-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/attitude/roll-rad,/fdm/jsbsim/attitude/pitch-rad,/fdm/jsbsim/attitude/heading-true-rad,/fdm/jsbsim/flight-path/gamma-rad,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/flight-path/gamma-deg
0,-1.02723084881209936e-17,-0.0174532925199434967,6.39312606983976946e-17,-1.02723084881209936e-17,-0.0174532925199434967,6.39312606983976946e-17,-0.0174532925199434689,-5.88559922225744477e-16,-1.00000000000001155,3.66299141696877962e-15,-1.00000000000000999
0.0499998,-0.00115917546422878359,0.0190453577293923787,6.28317729993074714,-0.00115917546422878359,0.0190453577293923787,6.28317729993074714,-0.0174530271778857785,-0.0664158618154272323,1.09121861721104385,359.999541218435979,-0.999984797019977001
0.0999996,-0.00381594954386611741,0.0190472441786506651,6.28310415745476636,-0.00381594954386611741,0.0190472441786506651,6.28310415745476636,-0.0174520521176015388,-0.218637803698400135,1.09132670279180921,359.995350463259172,-0.999928930180919218
0.1499994,-0.0113077091923473264,0.0190523442626520552,6.28291116470744804,-0.0113077091923473264,0.0190523442626520552,6.28291116470744804,-0.0174484814515127942,-0.647884012682786614,1.09161891608025119,359.984292793361192,-0.999724346083983639
0.1999992,-0.0231967130122137759,0.0190592301378310867,6.28263688341763515,-0.0231967130122137759,0.0190592301378310867,6.28263688341763515,-0.0174438549257754441,-1.32907375417604823,1.09201344766626351,359.968577633055531,-0.999459265685424869
0.249999,-0.0362052226336523619,0.0190653449592092759,6.28239205914570853,-0.0362052226336523619,0.0190653449592092759,6.28239205914570853,-0.0174454600262132289,-2.07440645323980322,1.09236380112371023,359.954550235551778,-0.999551231166204479
0.2999988,-0.0477563424205122086,0.019072047644273997,6.2822481725460344,-0.0477563424205122086,0.019072047644273997,6.2822481725460344,-0.0174578678568397504,-2.73623686567692781,1.09274783668932396,359.946306140661932,-1.00026214749401743
0.3499986,-0.0583283115436981844,0.0190818010861481986,6.2821775197541232,-0.0583283115436981844,0.0190818010861481986,6.2821775197541232,-0.0174819401135537268,-3.34196607757810549,1.09330666774444207,359.942258033874623,-1.00164138620708365
0.3999984,-0.0685576609372365864,0.019097446110938214,6.28215116051277001,-0.0685576609372365864,0.019097446110938214,6.28215116051277001,-0.017523251584344153,-3.92806462499256437,1.09420306163528736,359.940747760593922,-1.00400835912885311
0.4499982,-0.0785297994603445376,0.0191227421157914891,6.2821573071190917,-0.0785297994603445376,0.0191227421157914891,6.2821573071190917,-0.0175855153556411965,-4.49942607508647185,1.09565241595192253,359.941099935194472,-1.00757581044074151
0.499998,-0.0882584772286746366,0.0191616132640936472,6.28218565382165739,-0.0882584772286746366,0.0191616132640936472,6.28218565382165739,-0.0176715055654741923,-5.05683825145453891,1.09787956869446335,359.942724081614585,-1.01250268654361641
0.5499978,-0.0977492980635544934,0.0192177857453797001,6.28222542274868712,-0.0977492980635544934,0.0192177857453797001,6.28222542274868712,-0.0177832329054287835,-5.60062222940798282,1.10109801479693181,359.945002673289139,-1.01890419157923784
0.5999976,-0.107006951782887633,0.019294558986196416,6.28226525070608943,-0.107006951782887633,0.019294558986196416,6.28226525070608943,-0.0179220196130587262,-6.13104671571936155,1.10549679747527096,359.947284647154959,-1.0268560841789498
0.6499974,-0.116036037502567274,0.0193946485924344492,6.28229328612911608,-0.116036037502567274,0.0193946485924344492,6.28229328612911608,-0.0180885821654039845,-6.64837522031884642,1.11123150948583671,359.948890958571212,-1.03639941545325986
0.6999972,-0.124841157196831865,0.0195200861642030182,6.28229730765721062,-0.124841157196831865,0.0195200861642030182,6.28229730765721062,-0.0182831249318215101,-7.15287141690772899,1.11841855294054504,359.949121375158256,-1.04754589490378347
0.749997,-0.133426925766434612,0.0196721670516433016,6.28226484076505631,-0.133426925766434612,0.0196721670516433016,6.28226484076505631,-0.0185054762422759873,-7.6447997198220401,1.12713214593547728,359.947261159263917,-1.06028568656202826
0.7999968,-0.141797971041663973,0.0198514371719482781,6.28218326841956731,-0.141797971041663973,0.0198514371719482781,6.28218326841956731,-0.0187552813346647355,-8.12442528420561061,1.13740356722175506,359.942587408142401,-1.07459846405677895
0.8499966,-0.149958932427820879,0.0200576994709748407,6.28203993608703826,-0.149958932427820879,0.0200576994709748407,6.28203993608703826,-0.0190317522751489859,-8.59201392840163614,1.1492215264286425,359.934375070420685,-1.0904390821045391
0.8999964,-0.157914458934045571,0.0202900541546485944,6.28182224768116715,-0.157914458934045571,0.0202900541546485944,6.28182224768116715,-0.0193339200611668816,-9.04783202101276807,1.16253446915324576,359.921902443515364,-1.10775202094817682
0.9499962,-0.165669206462895707,0.0205469574579493115,6.28151775330443307,-0.165669206462895707,0.0205469574579493115,6.28151775330443307,-0.0196607158737107275,-9.49214632560538618,1.17725394417534623,359.904456200843015,-1.12647604176948746
0.999996,-0.173227834684677784,0.0208262883403273341,6.28111422967310062,-0.173227834684677784,0.0208262883403273341,6.28111422967310062,-0.0200110190442916412,-9.92522382162197303,1.19325842482327205,359.88133599983388,-1.14654693499382532
1.0499958,-0.180595003456376108,0.0211254193323525338,6.28059975352666022,-0.180595003456376108,0.0211254193323525338,6.28059975352666022,-0.0203836940911115913,-10.347331499200866,1.21039736818787746,359.851858687982713,-1.16789964230644872
