Time,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/lat-gc-rad,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-rad,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt,/fdm/jsbsim/ap/active-waypoint,/fdm/jsbsim/position/ned-x-relto-field-wp-ft,/fdm/jsbsim/position/ned-y-relto-field-wp-ft,/fdm/jsbsim/position/ned-z-relto-field-wp-ft,/fdm/jsbsim/position/ned-h-relto-field-wp-ft,/fdm/jsbsim/guidance/wp-distance,/fdm/jsbsim/guidance/field-wp-distance,/fdm/jsbsim/position/ned-x-relto-field-wp-m,/fdm/jsbsim/position/ned-y-relto-field-wp-m,/fdm/jsbsim/position/ned-z-relto-field-wp-m,/fdm/jsbsim/position/ned-h-relto-field-wp-m,/fdm/jsbsim/guidance/target-wp-latitude-rad-ONE,/fdm/jsbsim/guidance/target-wp-longitude-rad-ONE,/fdm/jsbsim/guidance/target-field-wp-latitude-rad,/fdm/jsbsim/guidance/target-field-wp-longitude-rad,/fdm/jsbsim/position/h-agl-m
0.6999972,451.715432528406382,137.682863834658264,451.715432528406382,0.930608297455589373,53.3199278240603789,0.927394412943867485,53.1357858056962513,0.142502594202057326,8.16479721744332032,45441.7480214464595,0,0.058371283216697406,18.0013940070119176,18.0014886437084591,1,16723390.1543170512,1780933.64473359892,8489389.18993929587,-8489389.18993929587,19564927.3068303876,19564927.3068303876,5097289.31903583743,542828.574914800934,2587565.82509349752,-2587565.82509349752,0,0,0,0,137.682863848283887
0.749997,451.637844789773226,137.659215091922874,451.637844789773226,0.930608498633916259,53.3199393507294346,0.927394614494675085,53.1357973537068844,0.142502589581660399,8.16479695271407557,45441.6839891971103,0,0.0760507258449191065,19.2869126703403317,19.2870626079481582,1,16723392.6196791064,1780933.10207368433,8489392.56423276663,-8489392.56423276663,19564931.4479484782,19564931.4479484782,5097290.0704781916,542828.409512059065,2587566.85357814748,-2587566.85357814748,0,0,0,0,137.659215104413022
0.7999968,451.559263791888952,137.635263603767754,451.559263791888952,0.930608699797688343,53.3199508765645689,0.927394816030748026,53.135808900873279,0.142502584201032401,8.16479664442680075,45441.6189626972846,0,0.0966391093814449181,20.572337354001764,20.5725643341841646,1,16723395.0840610266,1780932.54992747772,8489395.93751871772,-8489395.93751871772,19564935.5870785043,19564935.5870785043,5097290.82162180077,542828.241217895295,2587567.88175570546,-2587567.88175570546,0,0,0,0,137.635263616257873
0.8499966,451.479575626552105,137.610974650973077,451.479575626552105,0.930608900944667861,53.3199624014375573,0.927395017549826894,53.1358204470659956,0.142502578014587822,8.16479628996963669,45441.5528278939091,0,0.120310861776732336,21.8576536471385836,21.8579847560469247,1,16723397.5473433454,1780931.98772480479,8489399.30974620581,-8489399.30974620581,19564939.7240728997,19564939.7240728997,5097291.5724302521,542828.069858520525,2587568.90961064352,-2587568.90961064352,0,0,0,0,137.6109746645987
0.8999964,451.398670144379139,137.586314660006764,451.398670144379139,0.93060910207247316,53.3199739252119471,0.927395219049508279,53.1358319921473097,0.142502570978268073,8.16479588681821156,45441.4854744696058,0,0.147234568398785404,23.1428462204674368,23.1433145659267403,1,16723400.0094077922,1780931.414915103,8489402.68086240068,-8489402.68086240068,19564943.8587845527,19564943.8587845527,5097292.32286749501,542827.895266123465,2587569.93712686002,-2587569.93712686002,0,0,0,0,137.586314672496911
0.9499962,451.316441532224417,137.561251379021996,451.316441532224417,0.930609303178580149,53.3199854477431074,0.927395420527247549,53.1358435359714392,0.142502563049448056,8.16479543253028872,45441.4167964515218,0,0.177573329514705003,24.4278988439820601,24.4285442476239325,1,16723402.470137801,1780930.83096631244,8489406.05081209913,-8489406.05081209913,19564947.99106659,19564947.99106659,5097293.07289800234,542827.717278532102,2587570.96428752784,-2587570.96428752784,0,0,0,0,137.561251390376668
0.999996,451.232788596302271,137.535753964152946,451.232788596302271,0.930609504260328957,53.3199969688786553,0.927395621980363627,53.1358550783847576,0.142502554186847624,8.16479492474068813,45441.3466924564564,0,0.21148509908039384,25.7127944174023639,25.7136641196518703,1,16723404.9294188041,1780930.23536378657,8489409.41953748651,-8489409.41953748651,19564952.1207723245,19564952.1207723245,5097293.82248685136,542827.535738882143,2587571.99107502587,-2587571.99107502587,0,0,0,0,137.535753977778541
1.0499958,451.147614941000938,137.509793034017093,451.147614941000938,0.930609705314925706,53.3200084884584982,0.927395823406042541,53.1358666192260429,0.142502544350445737,8.16479436115637469,45441.2750658968798,0,0.249123013228504914,26.9975149928339917,26.9986643690698287,1,16723407.3871383704,1780929.62760922872,8489412.78697796725,-8489412.78697796725,19564956.2477551177,19564956.2477551177,5097294.57159977593,542827.350495292922,2587573.0174708846,-2587573.0174708846,0,0,0,0,137.509793046507241
1.0999956,451.060828670859337,137.483340578877943,451.060828670859337,0.930609906339447401,53.3200200063151684,0.927396024801342089,53.1358781583267188,0.142502533501402739,8.16479373955199783,45441.2018246965599,0,0.290635687638715723,28.2820418045092801,28.2835350908515828,1,16723409.8431860991,1780929.00721969875,8489416.15307022817,-8489416.15307022817,19564960.3718683049,19564960.3718683049,5097295.32020312361,542827.161400564248,2587574.04345580563,-2587574.04345580563,0,0,0,0,137.483340591368062
1.1499954,450.972341869026423,137.456369801679273,450.972341869026423,0.930610107330846925,53.3200315222740784,0.927396226163195503,53.1358896955110751,0.142502521601989673,8.16479305776585029,45441.126880716467,0,0.336167488038473183,29.5663552921550092,29.56826631954155,1,16723412.2974531874,1780928.37372667855,8489419.51774852164,-8489419.51774852164,19564964.4929651134,19564964.4929651134,5097296.0682637319,542826.968311891658,2587575.06900974968,-2587575.06900974968,0,0,0,0,137.456369814169392
