Time,/fdm/jsbsim/accelerations/pdot-rad_sec2,/fdm/jsbsim/accelerations/qdot-rad_sec2,/fdm/jsbsim/accelerations/rdot-rad_sec2,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz,/fdm/jsbsim/accelerations/n-pilot-x-norm,/fdm/jsbsim/accelerations/n-pilot-y-norm,/fdm/jsbsim/accelerations/n-pilot-z-norm
0,-0.00318445225887807604,0.787118583985126241,5.06130573528715684e-05,-0.788129068564202839,0.00997423847395419519,23.3103870540595963,8.01699882452434239e-17,0.260160140296212483,-0.0557468525828559158,-6.50831441156107484e-05,-0.267943734086046381
0.0499998,-1.14398432672023298,0.000838708395786324362,-0.0313692780265256779,-0.000508012273932045844,0.240657374018104941,0.00126369768191381127,0.00744885458186437307,0.996975289228521855,0.0221927473658343477,-0.0165202371522830682,-0.997273067968700522
0.0999996,-2.13786112459569511,0.00203816282234007976,-0.0526538270037071321,-0.0019924532394046679,0.361104879709147175,0.00781099062565004942,0.0159420926965376727,0.997000747763696737,0.0221307386294922019,-0.0332592266019536287,-0.997385761049022213
0.1499994,-1.57325361562035404,0.00200431871643930648,-0.0248855065134461623,-0.00338867015959265494,-0.045953678424183575,0.0176758375461645301,0.0174577232692298932,0.997081421498412168,0.0220654334792621393,-0.0275429672479558241,-0.996572290344575284
0.1999992,-0.220956651042798852,0.000421638858134436778,0.0193213491415011492,-0.00199522771677396182,-0.806527389934002303,0.0102966956012124911,0.00974799293249891188,0.997185149714535313,0.0221190948764913124,-0.000768468801753518192,-0.995640896357196881
0.249999,0.874927388408950901,-0.000382287882427609479,0.0484800258543517174,-0.00392238513558995638,-1.5571206460318705,-0.0165048837512244972,0.00187413596639509727,0.997186816415204791,0.0221269010316244991,0.0212850105038501526,-0.995430703105064207
0.2999988,0.255886030259808439,0.000495079712645874219,0.0244367459731178772,-0.00992992541507908832,-1.86637382717116695,-0.0431235715989970458,0.00453278565218118937,0.997014995258935333,0.0219513958614974518,0.0127456389841931854,-0.995770055834231838
0.3499986,0.117516083612863545,0.00175661740324528637,0.0167331262863458993,-0.0175485673819260057,-2.2217496771176668,-0.0657227599520311401,0.00617824659341816972,0.996693166739516689,0.021716172618894327,0.00944041021134042931,-0.995618128480235898
0.3999984,0.100193710071215733,0.00327630827263566266,0.0126595333276891021,-0.027020397041325972,-2.57353598052741406,-0.0843464441967327616,0.00686406371204416766,0.996244077398371508,0.021428495390851128,0.0094870170876439272,-0.995249045332988302
0.4499982,0.0966799585584914023,0.00494438144947047502,0.00875283082298918512,-0.03832560351266312,-2.90147487419172156,-0.0981813357057674807,0.00751788138928565896,0.995694490533066023,0.021097609867674897,0.00999223475428559146,-0.994768621717491586
0.499998,0.0947373932172956984,0.00665698269803806971,0.00465159717344791786,-0.0513830589091712753,-3.20265468395211439,-0.107035757534973186,0.00823936660084138676,0.995074517151574134,0.0207315507505602022,0.0106183255225829123,-0.994214867365600385
0.5499978,0.0929727424785478512,0.00833169912740470801,0.000347805243794693927,-0.0660630908830442953,-3.47628635654034479,-0.111165926762126333,0.00903312658306658703,0.99441404679883727,0.0203376180452637008,0.0113204901534925007,-0.993617790831410441
0.5999976,0.0912270469182501903,0.00990787237724751434,-0.00412705155515934088,-0.0821914685329120376,-3.72195839657678018,-0.111096692540566977,0.00989290909325295231,0.99374051778032324,0.0199224032320268751,0.0120872305671958103,-0.993004295412088678
0.6499974,0.0894821402361330731,0.011344470940100446,-0.00873775780822219281,-0.0995540018906919677,-3.93943344973184573,-0.107492142600584373,0.0108112101468080396,0.993077671670879458,0.0194917624964650628,0.01291082772289949,-0.99239771330968285
0.6999972,0.0877361762988354416,0.012617123224772521,-0.013449521025586884,-0.117901859464794923,-4.12862094652132861,-0.101062071581893065,0.0117803921144176722,0.992444999064581168,0.019050826458496966,0.0137840029863772993,-0.991817309396862856
0.749997,0.0859894919194825885,0.0137154896055454098,-0.0182285012751412581,-0.136966097312423374,-4.28957064593339155,-0.0922486123916144152,0.0127928351611624608,0.991852159432653258,0.0186038259483927472,0.0146995599839504412,-0.991272686244937695
0.7999968,0.0842426547626400624,0.0146328123109564657,-0.023041954891908651,-0.15644095682862047,-4.42246924601176072,-0.0818034096566933044,0.0138409816256456104,0.991309204307118108,0.018154747300906264,0.0156503626561940064,-0.990773880796698037
0.8499966,0.0824965532235825971,0.0153781754910413213,-0.0278583292617169201,-0.176002460225489821,-4.527630946175635,-0.070475226529612911,0.0149173579440801552,0.99083190452907377,0.0177071381376039082,0.0166293505291076997,-0.990336829171855171
0.8999964,0.0807522026484538691,0.0159644477293760384,-0.0326472986600029116,-0.195324139919915929,-4.60549513896461793,-0.0587130414834398096,0.0160146029540627829,0.990424349517219027,0.0172637722634321616,0.0176295642212076949,-0.989965841156947635
0.9499962,0.0790106365793169507,0.0164069319289643356,-0.0373798448081358037,-0.214076184477635822,-4.65662134534910788,-0.0468688289558869542,0.0171254958094894834,0.990088194205486882,0.0168270380497679527,0.0186441674127902947,-0.989662823789564494
0.999996,0.0772728814872996606,0.0167218502310212298,-0.0420283329709923714,-0.231931710604156016,-4.68168324691970739,-0.0352069063001145821,0.0182429831205050547,0.989823230998457149,0.0163989966014094074,0.0196664723682813368,-0.989427834947637641
