Time,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/aero/beta-rad,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/Re,/fdm/jsbsim/aero/qbar-psf,/fdm/jsbsim/aero/alphadot-rad_sec,/fdm/jsbsim/aero/betadot-rad_sec,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/aero/coefficient/CDo,/fdm/jsbsim/aero/coefficient/CDDf,/fdm/jsbsim/aero/coefficient/CDwbh,/fdm/jsbsim/aero/coefficient/CDDe,/fdm/jsbsim/aero/coefficient/CDbeta,/fdm/jsbsim/aero/coefficient/CYb,/fdm/jsbsim/aero/coefficient/CYda,/fdm/jsbsim/aero/coefficient/CYdr,/fdm/jsbsim/aero/coefficient/CYp,/fdm/jsbsim/aero/coefficient/CYr,/fdm/jsbsim/aero/coefficient/CLwbh,/fdm/jsbsim/aero/coefficient/CLDf,/fdm/jsbsim/aero/coefficient/CLDe,/fdm/jsbsim/aero/coefficient/CLadot,/fdm/jsbsim/aero/coefficient/CLq,/fdm/jsbsim/aero/coefficient/Clb,/fdm/jsbsim/aero/coefficient/Clp,/fdm/jsbsim/aero/coefficient/Clr,/fdm/jsbsim/aero/coefficient/Clda,/fdm/jsbsim/aero/coefficient/Cldr,/fdm/jsbsim/aero/coefficient/Cmo,/fdm/jsbsim/aero/coefficient/Cmalpha,/fdm/jsbsim/aero/coefficient/CmDf,/fdm/jsbsim/aero/coefficient/Cmq,/fdm/jsbsim/aero/coefficient/Cmadot,/fdm/jsbsim/aero/coefficient/Cmde,/fdm/jsbsim/aero/coefficient/Cnb,/fdm/jsbsim/aero/coefficient/Cnp,/fdm/jsbsim/aero/coefficient/Cnr,/fdm/jsbsim/aero/coefficient/Cnda,/fdm/jsbsim/aero/coefficient/Cndr,/fdm/jsbsim/aero/h_b-cg-ft,/fdm/jsbsim/aero/h_b-mac-ft,/fdm/jsbsim/aero/function/ground-effect-factor-lift
0,-3.24700574312969869e-18,-2.05704381494936869e-16,-1.86039725136071246e-16,-1.17859928870088744e-14,2133321.58666893328,8.35228636109239453,0.280724091946667254,0.000118191484514892475,16.0843056761864958,0.00677187323708916284,38.1345349760212144,0,6.18422986889263893,0,4.16735924450847425e-14,8.26910913354533037e-14,-0,0,-0,0,297.926054500165662,0,0,13.538902488799053,-0.000446127087198361588,7.32312304866774337e-13,-0,0,0,0,478.826754792666407,2.798555800996699e-14,0,0.00569935361305164319,-166.3978900235129,-0,-4.88208203244516259e-13,-0,-0,0,-0,15.3372596717139249,15.2782670537184551,1
0.0499998,0.0364984942650470046,7.3154081554267108e-05,2.0912096799696327,0.00419142012721533067,2133325.17356110131,8.35230299203968585,9.51577534288831832e-06,0.00244080836363914878,0.000545213765942154441,0.139848017836755933,38.134610908935116,21.450718636276001,63.5197208419265351,0.605708277522953198,0.01482029419376007,-0.0269777814415318971,9.92010371166302996,0.0880730645762335673,0.188815108609525273,-0.0305451610540148182,529.902627319316821,417.097306816477783,-3.50301287167441222,0.000458932545034874495,0.00159175477230607144,-0.229329127440648789,70.8026038619458831,-0.526893677143821293,-1347.07072321414603,0.389987529943562228,478.827708225316599,-314.576826526931711,-287.296624935189925,-0.02033495291578458,-0.0056404429546709732,51.9196983271941548,0.167388141250891603,4.51931514012420532,0.425083915605415363,-31.0411949262390152,-1.14077984949477385,15.3347650897464529,15.2759672175755981,1
0.0999996,0.03650056983012432,0.000263964079986753869,2.09132860108866758,0.0151240277262946754,2133327.71346999099,8.35231142505856816,7.46642888041991584e-05,0.00419221766044107144,0.00427794862882649625,0.240196378743481459,38.1346494120754045,21.4507402942924159,63.5216825809261962,0.605708889084739965,0.0534765687532781642,-0.0973448411487281562,19.2749824919087267,0.0880731535004281724,0.793986697163420629,-0.120246860814538795,529.916354167300369,417.097727944574729,-3.50301640854007923,0.00360096000362863846,0.00898264259350219779,-0.827496046324955215,297.732135976328664,-2.07425865577397461,-2617.38842254126985,0.389987923699895933,478.828191680371788,-314.595033247108177,-287.296915008223039,-0.114754871401174005,-0.0442570693716560631,51.9197507486396788,0.603992291047475427,19.0041788921060864,1.67342402758701558,-60.3137332150814274,-1.14078100129901516,15.3322705720124777,15.2734721765598138,1
0.1499994,0.0365078498023861178,0.000414709167858818997,2.09174571277424093,0.0237610850436927382,2133328.57903298363,8.35230674883982971,0.000199433793584664968,0.00083443932866639637,0.0114267146646845359,0.0478098517923142771,38.1346280615829443,21.4507282846404053,63.5283027982318131,0.605708549965768839,0.0840160180595058564,-0.152936624817573447,17.2488136080583416,0.0880731041908048018,1.63044270860063478,-0.227002951702169858,529.962327321471662,417.097494423563433,-3.50301444730202993,0.00961843607614687804,0.0213368836523409947,-1.30006326869925259,611.389576113747239,-3.91607334200434698,-2342.25089746545837,0.389987705356883652,478.827923598250834,-314.657602486440453,-287.296754158950478,-0.272582518355722003,-0.118213974117989645,51.9197216802657948,0.948920778118104158,39.0248665604519545,3.15910279185979759,-53.9736076372475182,-1.14078036260857107,15.3297763630788175,15.2709787455421893,1
0.1999992,0.0365169209326345959,0.000173056786058008145,2.09226545025289212,0.00991542345722229435,2133329.16611870145,8.35229989503895176,0.000157051428155149556,-0.0080064635367854773,0.00899838399979213839,-0.458736569483193968,38.1345967687730436,21.4507106824348348,63.5365440247265028,0.605708052928732643,0.0350595821328666957,-0.0638199034274330584,7.89394360362606218,0.0880730319190914795,2.01392875171827024,-0.238747667487857307,530.019546423237443,417.097152158455174,-3.50301157277117037,0.00757439402461999173,0.0288687975672863271,-0.542511725735465911,755.190623590269524,-4.11904004028305781,-1071.93438982359044,0.38998738533773708,478.827530677906566,-314.735527406408039,-287.296518406743928,-0.368804070501133396,-0.0930919758781177942,51.9196790755764894,0.395981227466079722,48.2036568249108228,3.32254896799958788,-24.7010968089783844,-1.14077942649814235,15.3272828012755333,15.2684932011360655,1
0.249999,0.0365155378033863581,-0.000530265222245341196,2.09218620278444734,-0.0303819592572246652,2133330.63122412143,8.35229991792855309,-0.000134859049186703732,-0.0171991692962796851,-0.00772685434754530071,-0.985439811807816146,38.134596873281474,21.4507107412208278,63.5352796613098505,0.605708054588684597,0.107426455708187693,0.19555127619222365,-0.840330343452800443,0.0880730321604569211,1.90501990609775662,-0.16561201026637129,530.010757029712977,417.097153301516073,-3.50301158237122578,-0.00650409036737285579,0.028206844201138493,1.6623162151513271,714.351572571965221,-2.85721537089255628,114.110137998142676,0.389987386406503211,478.827531990140528,-314.723607222386988,-287.296519194084283,-0.360347497436452169,0.0799375661763185308,51.9196792178631412,-1.21333048501397345,45.5969088875722548,2.3047513703012612,2.62949448430502697,-1.1407794296244651,15.3247895735116586,15.2660182739650665,1
0.2999988,0.0364975810723063149,-0.00154925382097679371,2.09115735787970936,-0.088765705336486686,2133326.65757982107,8.35225734914964413,-0.000458490954181880192,-0.0214797992962445679,-0.0262695966195477387,-1.23070184446288966,38.1344025144534839,21.4506014143800812,63.5185388353698599,0.605704967504586467,0.313861803032853104,0.571331109515397673,3.30098551413665531,0.0880725832827261579,1.66345929926878777,-0.0814692582365012935,529.893927546705868,417.09502750183492,-3.50299372873485826,-0.0221124369454400033,0.0276209533003109603,4.85669531828717016,623.770262210131591,-1.40530485834510999,-448.247424935644631,0.389985398775911429,478.825091572106544,-314.567236783934163,-287.295054943263892,-0.352862636018475118,0.271769654448967779,51.9194146012464728,-3.54491909083984691,39.8151231197956363,1.13377275148100165,-10.3291797919952888,-1.14077361546695166,15.3222953100615573,15.2635486188265972,1
0.3499986,0.0364651578342577026,-0.00275582907731359997,2.08929964318137573,-0.157897375189501116,2133316.31751480419,8.3521649184736706,-0.000729616284672185336,-0.0256143611061261899,-0.0418039337757318344,-1.46759478630507756,38.1339804981703523,21.4503640302208183,63.488193165511305,0.605698264440103773,0.558294515293640492,1.01627857157782464,4.22034197313513104,0.0880716086230542566,1.59559456103623365,-0.0365460985546324987,529.681992261003643,417.090411698738194,-3.50295496267860029,-0.0351883109603942576,0.0329977440948243245,8.63904537745925971,598.322085882192368,-0.630207404242396962,-573.088677215965731,0.389981082982884197,478.819792630151483,-314.284307623650307,-287.291875578090867,-0.421552103483397722,0.432476761107113861,51.918840032433863,-6.30566977711652576,38.1907714392888735,0.508596390971154166,-13.2059564749766007,-1.1407609910383687,15.3197985357001709,15.2610812711282495,1
0.3999984,0.0364203777180375707,-0.00417516591720319685,2.08673393151585707,-0.239219385822610486,2133299.19854332367,8.35201938741371919,-0.000954943645818254975,-0.029820411988301463,-0.0547142405782217178,-1.70858375027099751,38.1333160382780605,21.4499902715314086,63.4461477023764999,0.605687710540450786,0.845818645112581979,1.5396665038287316,4.28387781271807011,0.0880700740323607512,1.55403313719568836,-0.00377141309439275527,529.388160508278588,417.083144168666308,-3.50289392595894045,-0.0460551639579153266,0.0459956938723438055,13.0881917268800638,582.737225911023188,-0.0650071349757766481,-581.716335944612297,0.389974287815293363,478.811449505628957,-313.892889240889417,-287.286869703377363,-0.587603244856553908,0.566034219806529237,51.9179353802993404,-9.55311743408933545,37.1959931432567998,0.0524851397147663781,-13.4047677413323694,-1.14074111401752476,15.3172971610090922,15.258614666795749,1
0.4499982,0.036365839132880183,-0.00579700552865131634,2.08360910076572381,-0.332143950605725047,2133274.97620743001,8.35181820439151146,-0.00112387104512619643,-0.0337589477851170314,-0.0643930676026879395,-1.93424522888972428,38.1323974848825884,21.4494735852464551,63.394759930705618,0.605673120765395367,1.17434788240315524,2.13769713971921194,4.25570727993701858,0.0880679526048546435,1.5160588128621757,0.0203937365109970806,529.028794131692848,417.073097490903308,-3.50280954842653669,-0.0542016257508939198,0.0677964714077496644,18.1718508190397294,568.497470085809937,0.351340020555541088,-577.891002957207661,0.389964894134296358,478.799915919556952,-313.415292945009014,-287.279949551734148,-0.866112090831434145,0.666157110464045243,51.9166847836876499,-13.2636981862444028,36.2870725586687257,-0.283810890850755948,-13.316618763796523,-1.14071363590304364,15.3147884515848585,15.2561458387623823,1
0.499998,0.0363044703251806308,-0.00760618256839386362,2.08009292709078952,-0.435802159374945042,2133243.46470928984,8.35155990208992449,-0.00123303258175780231,-0.0373838197984936865,-0.0706475629368416985,-2.14193509653129599,38.1312181385660978,21.4488102029434273,63.3366973011921601,0.60565438870522903,1.54080034818504719,2.80476045177793187,4.2225537830692863,0.0880652288680230794,1.47908375404959691,0.0358424312968939271,528.622421269974666,417.060198390566654,-3.50270121467857454,-0.0594653721804677751,0.0989720695471960621,23.8423336804136063,554.632422626641187,0.61712582362045687,-573.389023310544417,0.389952833427606171,478.78510775237055,-312.87671525761823,-287.271064651422307,-1.26438595268304055,0.73085041187636568,51.9150791214423606,-17.4026036831314244,35.4020695293600767,-0.498803755316888475,-13.2128774936777624,-1.14067835628483438,15.3122692140510814,15.253671229408905,1
0.5499978,0.0362391906869233213,-0.00958665933807070943,2.07635267933050516,-0.549275119701131076,2133204.59227754921,8.35124390510119241,-0.00128479998983778844,-0.0406841817362006766,-0.0736136169361563397,-2.33103190642752489,38.1297753721548247,21.4479986468370853,63.2746259260026775,0.605631472631431245,1.94191620037816026,3.53492246150079614,4.19381037224155406,0.0880618967543268932,1.44281394469701119,0.0421257564286026745,528.187570188471454,417.044418132943349,-3.5025686833851104,-0.0619608509516086509,0.139567944960940798,30.0491975377310432,541.031832278492175,0.724858146947556237,-569.485898067425182,0.389938078828159507,478.766992016618985,-312.302309729309115,-287.260195209971357,-1.78300554753280616,0.761520726730900432,51.9131148167059422,-21.9330155661252206,34.5339467411803582,-0.586246098321251297,-13.1229359119884936,-1.14063519657216705,15.3097359148083836,15.2511869379646665,1
0.5999976,0.0361726937281585323,-0.0117220662463361092,2.07254268424282717,-0.671624923087818293,2133158.37885652203,8.35087035566601443,-0.00128504942170740589,-0.0436548113506652694,-0.0736279083295614672,-2.50123644583292082,38.1280698350856611,21.4470392822356821,63.2110106671015259,0.605604382859284973,2.37436747740020682,4.32212519061557465,4.17007316465120503,0.0880579577636606964,1.40721666442909399,0.0388278964258277418,527.741377685005659,417.025763821249427,-3.50241201420286474,-0.0619715625283986105,0.189224268993268274,36.7409455370261568,527.683429431216723,0.667687125115148383,-566.262575174316339,0.389920636977489521,478.745576866794408,-311.715308262836345,-287.2473461200766,-2.41737399971933442,0.761652375790205394,51.9107927536769509,-26.817346099372763,33.6819210275244743,-0.540351194031204907,-13.0486593409733764,-1.14058417619265628,15.307184782757508,15.2486888407979677,1
