Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
0,-44.3187648449138933,9.1807655446495867e-14,-311.464510861877557,44.3187648449138933,8.26910913354533037e-14,311.464510861877557,0,0,0,-44.3187648449138933,9.1807655446495867e-14,-311.464510861877557,-0.259938234747132568,-3.1704264982645074,340.78191327818422,0.451124868273875268,0,0,0,-3.17040894671800233,340.78191327818422,0.451124868273875268
0.0499998,-82.1199084939004535,10.1304178841370263,-1141.70064905419918,123.725578958854356,10.1394689423532416,1137.94369327713071,0,0,0,25.4186316638985232,10.1304178841370263,-1141.70064905419918,-0.992847177869300657,-1270.63906733506769,-106.943699573665228,-27.8189977964447515,0,0,0,-1183.78812143312598,0.167763488722172838,-25.6394569223688968
0.0999996,-82.1614243377884463,19.9067800999686995,-1141.7375414196847,123.766257745132052,19.9394506406093086,1137.97878924967017,0,0,0,25.3773560873087973,19.9067800999686995,-1141.7375414196847,-0.992871211083786953,-2299.17207309732021,-107.028345461733409,-42.4506392689497147,0,0,0,-2212.32094725928937,0.576408396890229824,-40.2553568688474002
0.1499994,-82.1889440721631388,18.5360458492002458,-1141.84107222365424,123.803383712480453,18.5873898443300369,1138.08034552064919,0,0,0,25.3501250879959343,18.5360458492002458,-1141.84107222365424,-0.992949914162550962,-1715.07624397062887,-107.29124752809129,-14.044513272222904,0,0,0,-1628.2249229374172,0.893746775417966433,-11.8225373808882033
0.1999992,-82.1278000400006647,9.67195971020577616,-1141.95044131169516,123.762619110995956,9.69337781634813567,1138.19075083806479,0,0,0,25.4115387588652339,9.67195971020577616,-1141.95044131169516,-0.993053916216394716,-315.819841076109526,-107.563983142126887,25.4032961730038771,0,0,0,-228.968339974387845,0.661906579486966962,27.6420625979987982
0.249999,-82.1992825513589764,1.2483664073816001,-1141.92090960007795,123.833721786109024,1.18270186073126604,1138.15880035143755,0,0,0,25.3402605334944298,1.2483664073816001,-1141.92090960007795,-0.99305470009486807,818.203977089332056,-107.24172177952525,48.8184753864432253,0,0,0,905.055623125775696,0.533220583102178125,51.0559080472145865
0.2999988,-82.4094786023510437,5.73451579606679118,-1141.69285699248098,124.023109534740826,5.54237924796706594,1137.92545312783363,0,0,0,25.1304643469534312,5.73451579606679118,-1141.69285699248098,-0.992878295683710665,177.715117746138759,-106.486143115347744,25.8758165753118234,0,0,0,264.566992469140587,0.751345837467582101,28.1105713896143214
0.3499986,-82.6636511797335203,7.22608868600480392,-1141.29803269896865,124.236530473636222,6.88374061581761154,1137.52564526590163,0,0,0,24.876966224508223,7.22608868600480392,-1141.29803269896865,-0.992552394776529234,34.5809942194879483,-105.610194707471479,17.7580309469226059,0,0,0,121.433216116822834,1.28140398183352033,20.0013165945039475
0.3999984,-82.9659371193326933,7.98153823010770935,-1140.76210885788191,124.480960367838946,7.46187611468045642,1136.98463120274369,0,0,0,24.5757019689772847,7.98153823010770935,-1140.76210885788191,-0.992099270052293702,16.7019966068530792,-104.646074379170116,12.7458023295883613,0,0,0,103.554715527596414,1.9453652214933328,15.0125067596337622
0.4499982,-83.3109954184527055,8.74100115050363513,-1140.11671053650252,124.756652004003229,8.01792492163425763,1136.33389959289889,0,0,0,24.2320862357537123,8.74100115050363513,-1140.11671053650252,-0.991545542907593336,13.1148458893843358,-103.651783867967396,7.76288883334487867,0,0,0,99.9682429990479875,2.66743961102947935,10.070614872752536
