Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm,/fdm/jsbsim/ap/throttle-cmd-norm
0,130,130,0,0,-1,260,0,0,13.5024800000000003,22,-0.0729999999999999954,0,0.0757062081141679499,0,0,-0,0,-1.5,0.320000000000000007,0.849999999999999978,101324.613599999997,29.9212178196185867,0.15185387364528502,1,0,0,0,0
0.0499998,129.999914778393844,129.999914778393844,0,0,-1,259.999829556787688,0,0,0.609611636119431477,22,0.061327185471639796,1328.07366193212806,0.397159393385287107,0,8.08486969397669242,107.538540157798977,0.00340887592660557006,21.9614021479026569,0.320000000000000007,0.849999999999999978,35812.3035719093241,10.5753942475177976,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.0999996,129.999829556902256,129.999829556902256,0,0,-1,259.999659113804512,0,0,0.609611310379764459,22,0.061327208273416485,1328.07344340265377,0.39715922547110577,0,8.08487487477513156,107.538780425097244,0.00340887146179464024,21.9613380879850979,0.320000000000000007,0.849999999999999978,35812.3110060180188,10.5753964428144549,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.1499994,129.999744335518244,129.999744335518244,0,0,-1,259.999488671036488,0,0,0.609610433248558126,22,0.06132726967260093,1328.07310706186991,0.397159009106487326,0,8.08489014965839914,107.539069160159073,0.00340886727467764597,21.9612794099679043,0.320000000000000007,0.849999999999999978,35812.3229631633585,10.575399973766487,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.1999992,129.999659114234845,129.999659114234845,0,0,-1,259.99931822846969,0,0,0.60960956295434221,22,0.0613273305931960402,1328.07266041884691,0.397158759327087552,0,8.08490460641793618,107.539338798865899,0.0034088633644249319,21.9612259973434689,0.320000000000000007,0.849999999999999978,35812.339310448202,10.575404801129288,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.249999,129.999573893044811,129.999573893044811,0,0,-1,259.999147786089623,0,0,0.609609100046945129,22,0.0613273629967138398,1328.07212216530888,0.397158490909530426,0,8.08491049673023809,107.539543084853406,0.00340885976007603269,21.9611778728710547,0.320000000000000007,0.849999999999999978,35812.3599279698319,10.575410889495517,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.2999988,129.999488671940526,129.999488671940526,0,0,-1,259.998977343881052,0,0,0.60960692414239559,22,0.0613275153100323045,1328.07148986775337,0.397158154653568851,0,8.08494943108897246,107.539942949304475,0.00340885644729043607,21.9611348011887131,0.320000000000000007,0.849999999999999978,35812.3846630339976,10.5754181937744711,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.3499986,129.999403450915736,129.999403450915736,0,0,-1,259.998806901831472,0,0,0.6096023640081073,22,0.0613278345194324878,1328.07074010981546,0.397157728135200339,0,8.08503444382849779,107.540617404241743,0.00340885334663581455,21.9610962263669869,0.320000000000000007,0.849999999999999978,35812.4133541785195,10.5754266662862744,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.3999984,129.999318229966633,129.999318229966633,0,0,-1,259.998636459933266,0,0,0.609594789334312326,22,0.0613283647465981338,1328.06984095383405,0.397157187275261558,0,8.08517771484262937,107.541639088309978,0.00340885035731857983,21.9610614926971444,0.320000000000000007,0.849999999999999978,35812.4458602857849,10.5754362653588139,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.4499982,129.999233009092137,129.999233009092137,0,0,-1,259.998466018184274,0,0,0.609583549866249741,22,0.0613291515093625159,1328.06875125158149,0.39715650474022679,0,8.0853917610130992,107.543081654206418,0.00340884735717399308,21.9610298535961306,0.320000000000000007,0.849999999999999978,35812.4820668773609,10.575446957186541,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
0.499998,129.999147788294607,129.999147788294607,0,0,-1,259.998295576589214,0,0,0.609568017430238362,22,0.0613302387798833129,1328.0674212128456,0.397155651080556171,0,8.0856886155897385,107.54501466614316,0.0034088442050958438,21.9610004932113547,0.320000000000000007,0.849999999999999978,35812.521893582656,10.5754587180359714,0.15185387364528502,1,0,0.391836174036659268,0.391836174036659268,0
