Time,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts,/fdm/jsbsim/accelerations/Ny,/fdm/jsbsim/accelerations/Nz
0.3249987,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924682472527147e-13,-2.7758943325705738e-16,4.1157359749964683e-15,0.00563687772071888495,0.996871411817821129
0.333332,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924688687224704e-13,-2.86716463977713228e-16,4.11484302395521356e-15,0.00585242566098184269,0.996815724004224912
0.3416653,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924695501438373e-13,-2.95558337730558768e-16,4.11392434376293634e-15,0.0060286422615044204,0.996756275338838482
0.3499986,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924702980840283e-13,-3.04132685801147299e-16,4.11297762755661976e-15,0.00617824659341816972,0.996693166739516689
0.3583319,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924711193446701e-13,-3.12453944708324753e-16,4.11200050605728391e-15,0.00631010595893524793,0.996626505706028953
0.3666652,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924720209001314e-13,-3.205343577009286e-16,4.11099053830355075e-15,0.00643038933831109692,0.996556405943991086
0.3749985,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924730098477444e-13,-3.28384671861506258e-16,4.10994520670020246e-15,0.00654338252371752978,0.996482986801582205
0.3833318,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924740933675545e-13,-3.36014622839360188e-16,4.10886191529058315e-15,0.00665205900032027082,0.996406372618011127
0.3916651,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924752786895665e-13,-3.43433271626177783e-16,4.10773799039061033e-15,0.00675847832338137989,0.996326692048628226
0.3999984,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924765730667948e-13,-3.50649238307268706e-16,4.10657068292073134e-15,0.00686406371204416766,0.996244077398371508
0.4083317,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924779837527864e-13,-3.57670864097029028e-16,4.10535717193380636e-15,0.00696979536585025112,0.996158663985742598
0.416665,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924795179825065e-13,-3.64506323456699644e-16,4.10409456896309989e-15,0.0070763450585252588,0.996070589543178397
0.4249983,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924811829558748e-13,-3.71163701470409289e-16,4.10277992290963929e-15,0.00718416983820876175,0.995979993659306673
0.4333316,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924829858232904e-13,-3.77651047044041396e-16,4.10141022526416001e-15,0.00729357725660257413,0.995887017263277996
0.4416649,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924849336726877e-13,-3.8397640928005742e-16,4.09998241551066474e-15,0.00740477077776316439,0.995791802148106031
0.4499982,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924870335177948e-13,-3.90147862146785439e-16,4.09849338660162454e-15,0.00751788138928565896,0.995694490533066023
0.4583315,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924892922872818e-13,-3.96173521003897775e-16,4.09693999042380751e-15,0.00763298960865616775,0.995595224659015066
0.4666648,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924917168146608e-13,-4.02061553465511648e-16,4.09531904319703457e-15,0.0077501408035525127,0.995494146419207415
0.4749981,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924943138287738e-13,-4.07820186324562545e-16,4.09362733076311871e-15,0.00786935585778714836,0.995391397017381552
0.4833314,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76924970899447005e-13,-4.13457709741660907e-16,4.09186161373598519e-15,0.00799063859734195324,0.995287116655370285
0.4916647,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925000516551145e-13,-4.18982479533169277e-16,4.09001863249117738e-15,0.00811398096098287815,0.995181444246208358
0.499998,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692503205321842e-13,-4.24402918140914451e-16,4.08809511198112595e-15,0.00823936660084138676,0.995074517151574134
0.5083313,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692506557167804e-13,-4.29727514687816616e-16,4.08608776636553293e-15,0.00836677339005795044,0.994966470941391012
0.5166646,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925101132690622e-13,-4.3496482440254233e-16,4.08399330345142238e-15,0.00849617516959526656,0.994857439175678926
0.5249979,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925138795470791e-13,-4.40123467607461845e-16,4.08180842893908014e-15,0.008627542965387449,0.99474755320558006
0.5333312,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925178617611478e-13,-4.45212128406618316e-16,4.0795298504724041e-15,0.00876084583680644333,0.994636941993711998
0.5416645,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925220655008766e-13,-4.50239553170104875e-16,4.07715428149345373e-15,0.00889605146842046939,0.994525731952385916
0.5499978,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925264961788383e-13,-4.55214548877978408e-16,4.07467844490287748e-15,0.00903312658306658703,0.99441404679883727
0.5583311,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925311590231941e-13,-4.60145981372195468e-16,4.0720990765274913e-15,0.00917203723053160516,0.994302007426401957
0.5666644,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925360590704611e-13,-4.65042773546803682e-16,4.06941292839779772e-15,0.00931274898960260736,0.994189731791603304
0.5749977,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925412011582374e-13,-4.69913903498405303e-16,4.06661677183990406e-15,0.00945522710981694728,0.994077334814258973
0.583331,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925465899179719e-13,-4.74768402653305565e-16,4.06370740038300577e-15,0.0095994366112256025,0.993964928292614514
0.5916643,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925522297676923e-13,-4.79615353880465702e-16,4.06068163248929402e-15,0.00974534235493675245,0.993852620831302325
0.5999976,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925581249047342e-13,-4.84463889598988749e-16,4.05753631410799468e-15,0.00989290909325295231,0.99374051778032324
0.6083309,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925642792984034e-13,-4.8932318988333817e-16,4.05426832106041426e-15,0.0100421015056761636,0.993628721187311048
0.6166642,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692570696682559e-13,-4.94202480572052219e-16,4.05087456125810087e-15,0.0101928842250174467,0.993517329759649237
0.6249975,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925773805481593e-13,-4.99111031380399645e-16,4.04735197676170333e-15,0.0103452218566092262,0.993406438837113881
0.6333308,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.7692584334135668e-13,-5.04058154019005205e-16,4.04369754568288559e-15,0.0104990789927395904,0.993296140373614023
0.6416641,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,-1.76925915604273506e-13,-5.09053200320224057e-16,4.03990828393629297e-15,0.0106544202237556385,0.993186522929561444
