Time,/fdm/jsbsim/atmosphere/wind-north-fps,/fdm/jsbsim/atmosphere/wind-east-fps,/fdm/jsbsim/atmosphere/wind-down-fps,/fdm/jsbsim/atmosphere/wind-mag-fps,/fdm/jsbsim/atmosphere/psiw-rad,/fdm/jsbsim/atmosphere/wind-x-fps,/fdm/jsbsim/atmosphere/wind-y-fps,/fdm/jsbsim/atmosphere/wind-z-fps,/fdm/jsbsim/atmosphere/wind-north-kts,/fdm/jsbsim/atmosphere/wind-east-kts,/fdm/jsbsim/atmosphere/wind-down-kts,/fdm/jsbsim/atmosphere/wind-mag-kts,/fdm/jsbsim/atmosphere/psiw-deg,/fdm/jsbsim/atmosphere/wind-x-kts,/fdm/jsbsim/atmosphere/wind-y-kts,/fdm/jsbsim/atmosphere/wind-z-kts
0,-2.84217094304040074e-14,0,-2.22044604925031308e-16,2.84225767789075099e-14,3.14159265358979312,-2.84212558790864752e-14,1.8142209337056138e-30,2.74016438165586069e-16,-1.68394080901634882e-14,0,-1.31557875704402252e-16,1.68399219802742386e-14,179.999999958900673,-1.68391393682646727e-14,1.0748968756856369e-30,1.62350355350099108e-16
0.0499998,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98614862261658798e-13,1.82517749953073072e-16,6.97113989834453036e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924528052236663e-13,1.08138846563196543e-16,4.13028885153076064e-15
0.0999996,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98614888551607952e-13,1.42170933591524481e-16,6.97095334206294739e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924543628610882e-13,8.42340034180407949e-17,4.13017831991882375e-15
0.1499994,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98614951106098914e-13,3.23691987788753341e-17,6.96964819039981551e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924580691145905e-13,1.91782323693031727e-17,4.12940503844084431e-15
0.1999992,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615018350208823e-13,-1.3227680510527372e-16,6.96558585562522552e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924620532205117e-13,-7.8371890595993002e-17,4.1269981700842564e-15
0.249999,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615059180814171e-13,-2.95823393906617854e-16,6.95880641484359158e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924644723685509e-13,-1.75270627715368564e-16,4.12298145989219065e-15
0.2999988,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615096476957843e-13,-4.18979171258961517e-16,6.95087622332883105e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.769246668210539e-13,-2.48238455304194575e-16,4.11828294830275925e-15
0.3499986,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615157507781259e-13,-5.13317972807953151e-16,6.94192185368148237e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924702980840283e-13,-3.04132685801147299e-16,4.11297762755661976e-15
0.3999984,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615263417523423e-13,-5.91829042315520213e-16,6.93110815299777031e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924765730667948e-13,-3.50649238307268706e-16,4.10657068292073134e-15
0.4499982,-2.98427949019242078e-13,1.92987986702419789e-16,1.26565424807267846e-14,2.98696277291433276e-13,3.14094597166729139,-2.98615439969987295e-13,-6.58495186615647709e-16,6.91747521722379792e-15,-1.76813784946716623e-13,1.14342294313396478e-16,7.49879891515092851e-15,1.76972765154737556e-13,179.962947814062375,-1.76924870335177948e-13,-3.90147862146785439e-16,4.09849338660162454e-15
